"","City","Parameter","Unscaled_Values"
"1","Abu Dhabi","Wifi",9
"2","Abu Dhabi","Co_Work",32
"3","Abu Dhabi","Coffee",4.52
"4","Abu Dhabi","Taxi",0.51
"5","Abu Dhabi","Beer",10.19
"6","Abu Dhabi","Rent",1158.86
"7","Abu Dhabi","Meal",7.64
"8","Abu Dhabi","Sun",3509
"9","Abu Dhabi","Fun",317
"10","Abu Dhabi","Insta",31.53
"11","Adelaide","Wifi",18
"12","Adelaide","Co_Work",17
"13","Adelaide","Coffee",3.04
"14","Adelaide","Taxi",1.4
"15","Adelaide","Beer",4.13
"16","Adelaide","Rent",1018.37
"17","Adelaide","Meal",11.22
"18","Adelaide","Sun",2765
"19","Adelaide","Fun",458
"20","Adelaide","Insta",6.43
"21","Amsterdam","Wifi",22
"22","Amsterdam","Co_Work",99
"23","Amsterdam","Coffee",3.7
"24","Amsterdam","Taxi",2.61
"25","Amsterdam","Beer",5.55
"26","Amsterdam","Rent",1711.83
"27","Amsterdam","Meal",16.65
"28","Amsterdam","Sun",1662
"29","Amsterdam","Fun",1782
"30","Amsterdam","Insta",33.77
"31","Arequipa","Wifi",9
"32","Arequipa","Co_Work",4
"33","Arequipa","Coffee",1.81
"34","Arequipa","Taxi",1.18
"35","Arequipa","Beer",1.85
"36","Arequipa","Rent",213.76
"37","Arequipa","Meal",2.38
"38","Arequipa","Sun",3333
"39","Arequipa","Fun",211
"40","Arequipa","Insta",1.57
"41","Athens","Wifi",12
"42","Athens","Co_Work",29
"43","Athens","Coffee",3.15
"44","Athens","Taxi",0.83
"45","Athens","Beer",4.45
"46","Athens","Rent",452.89
"47","Athens","Meal",11.1
"48","Athens","Sun",2773
"49","Athens","Fun",1149
"50","Athens","Insta",10.18
"51","Auckland","Wifi",34
"52","Auckland","Co_Work",30
"53","Auckland","Coffee",3.34
"54","Auckland","Taxi",1.72
"55","Auckland","Beer",6.54
"56","Auckland","Rent",1253.42
"57","Auckland","Meal",13.08
"58","Auckland","Sun",2003
"59","Auckland","Fun",1099
"60","Auckland","Insta",5.39
"61","Bangkok","Wifi",28
"62","Bangkok","Co_Work",117
"63","Bangkok","Coffee",2.03
"64","Bangkok","Taxi",1.07
"65","Bangkok","Beer",2
"66","Bangkok","Rent",539.73
"67","Bangkok","Meal",2
"68","Bangkok","Sun",2624
"69","Bangkok","Fun",2262
"70","Bangkok","Insta",28.39
"71","Barcelona","Wifi",37
"72","Barcelona","Co_Work",136
"73","Barcelona","Coffee",2.07
"74","Barcelona","Taxi",1.31
"75","Barcelona","Beer",3.33
"76","Barcelona","Rent",999
"77","Barcelona","Meal",13.33
"78","Barcelona","Sun",2591
"79","Barcelona","Fun",2739
"80","Barcelona","Insta",62.89
"81","Beijing","Wifi",37
"82","Beijing","Co_Work",69
"83","Beijing","Coffee",4.19
"84","Beijing","Taxi",0.34
"85","Beijing","Beer",1.44
"86","Beijing","Rent",1014.96
"87","Beijing","Meal",4.71
"88","Beijing","Sun",2671
"89","Beijing","Fun",1408
"90","Beijing","Insta",7.29
"91","Beirut","Wifi",4
"92","Beirut","Co_Work",18
"93","Beirut","Coffee",7.93
"94","Beirut","Taxi",1.33
"95","Beirut","Beer",6.18
"96","Beirut","Rent",956.16
"97","Beirut","Meal",24.83
"98","Beirut","Sun",3534
"99","Beirut","Fun",188
"100","Beirut","Insta",10.24
"101","Belfast","Wifi",26
"102","Belfast","Co_Work",13
"103","Belfast","Coffee",3.56
"104","Belfast","Taxi",1.39
"105","Belfast","Beer",5.85
"106","Belfast","Rent",786.38
"107","Belfast","Meal",15.57
"108","Belfast","Sun",1868
"109","Belfast","Fun",483
"110","Belfast","Insta",3.39
"111","Belgrade","Wifi",34
"112","Belgrade","Co_Work",33
"113","Belgrade","Coffee",1.72
"114","Belgrade","Taxi",0.66
"115","Belgrade","Beer",1.89
"116","Belgrade","Rent",400.4
"117","Belgrade","Meal",6.6
"118","Belgrade","Sun",2112
"119","Belgrade","Fun",535
"120","Belgrade","Insta",4.42
"121","Berlin","Wifi",33
"122","Berlin","Co_Work",127
"123","Berlin","Coffee",3.24
"124","Berlin","Taxi",2.22
"125","Berlin","Beer",3.24
"126","Berlin","Rent",1053.85
"127","Berlin","Meal",11.1
"128","Berlin","Sun",1626
"129","Berlin","Fun",1894
"130","Berlin","Insta",48.46
"131","Bordeaux","Wifi",20
"132","Bordeaux","Co_Work",14
"133","Bordeaux","Coffee",3.47
"134","Bordeaux","Taxi",1.85
"135","Bordeaux","Beer",6.66
"136","Bordeaux","Rent",782.22
"137","Bordeaux","Meal",14.43
"138","Bordeaux","Sun",2713
"139","Bordeaux","Fun",560
"140","Bordeaux","Insta",7.92
"141","Boston","Wifi",33
"142","Boston","Co_Work",41
"143","Boston","Coffee",4.16
"144","Boston","Taxi",1.74
"145","Boston","Beer",6.55
"146","Boston","Rent",2440.5
"147","Boston","Meal",18.72
"148","Boston","Sun",2634
"149","Boston","Fun",653
"150","Boston","Insta",23.85
"151","Brisbane","Wifi",22
"152","Brisbane","Co_Work",37
"153","Brisbane","Coffee",3.24
"154","Brisbane","Taxi",1.52
"155","Brisbane","Beer",5.6
"156","Brisbane","Rent",1208.3
"157","Brisbane","Meal",14.01
"158","Brisbane","Sun",2968
"159","Brisbane","Fun",668
"160","Brisbane","Insta",11.95
"161","Brussels","Wifi",37
"162","Brussels","Co_Work",66
"163","Brussels","Coffee",3.38
"164","Brussels","Taxi",2.16
